DATA_TEST,NOMBRE,DICE OC,DICE OD,DICE ODint,DICE AVG,PRECISION OC,PRECISION OD,PRECISION ODint,RECALL OC,RECALL OD,RECALL ODint,Hausdorff_distance_OC,Hausdorff_distance_OD,Hausdorff_distance_ODint
ORIGA,001.png,0.952282440731864,0.9813717055957714,0.9813717055957714,0.9668270731638177,0,0,0,0,0,0,0,0,0
ORIGA,002.png,0.9512247981595412,0.9415628592133192,0.9415628592133192,0.9463938286864302,0,0,0,0,0,0,0,0,0
ORIGA,003.png,0.6666158289408274,0.9842118530625998,0.9842118530625998,0.8254138410017136,0,0,0,0,0,0,0,0,0
ORIGA,004.png,0.9254437785686718,0.9747113051798217,0.9747113051798217,0.9500775418742468,0,0,0,0,0,0,0,0,0
ORIGA,005.png,0.953941958146777,0.9769162324118588,0.9769162324118588,0.9654290952793179,0,0,0,0,0,0,0,0,0
ORIGA,006.png,0.9213774926924582,0.9514154790244628,0.9514154790244628,0.9363964858584605,0,0,0,0,0,0,0,0,0
ORIGA,007.png,0.9208180801092549,0.9581984143384399,0.9581984143384399,0.9395082472238474,0,0,0,0,0,0,0,0,0
ORIGA,008.png,0.866407077769487,0.9630744405761456,0.9630744405761456,0.9147407591728163,0,0,0,0,0,0,0,0,0
ORIGA,009.png,0.9339396539794692,0.9665596145406865,0.9665596145406865,0.9502496342600779,0,0,0,0,0,0,0,0,0
ORIGA,010.png,0.93732724385386,0.9609727574608855,0.9609727574608855,0.9491500006573728,0,0,0,0,0,0,0,0,0
ORIGA,011.png,0.9663892468492686,0.968997123089876,0.968997123089876,0.9676931849695722,0,0,0,0,0,0,0,0,0
ORIGA,012.png,0.9592144126615452,0.9742197148224749,0.9742197148224749,0.96671706374201,0,0,0,0,0,0,0,0,0
ORIGA,013.png,0.9171752698351643,0.9695811176000223,0.9695811176000223,0.9433781937175933,0,0,0,0,0,0,0,0,0
ORIGA,014.png,0.8303242476608111,0.9510114393446986,0.9510114393446986,0.8906678435027549,0,0,0,0,0,0,0,0,0
ORIGA,015.png,0.9392870947243017,0.9624473599855734,0.9624473599855734,0.9508672273549376,0,0,0,0,0,0,0,0,0
ORIGA,016.png,0.929755790322687,0.950887139913178,0.950887139913178,0.9403214651179325,0,0,0,0,0,0,0,0,0
ORIGA,017.png,0.8625797503276879,0.9745986812536226,0.9745986812536226,0.9185892157906552,0,0,0,0,0,0,0,0,0
ORIGA,018.png,0.9461198687833101,0.9745411495400325,0.9745411495400325,0.9603305091616713,0,0,0,0,0,0,0,0,0
ORIGA,019.png,0.8876326778612966,0.9553720822521989,0.9553720822521989,0.9215023800567478,0,0,0,0,0,0,0,0,0
ORIGA,020.png,0.784478601894229,0.950350570237475,0.950350570237475,0.867414586065852,0,0,0,0,0,0,0,0,0
ORIGA,021.png,0.8365390949327834,0.9535174684331149,0.9535174684331149,0.8950282816829491,0,0,0,0,0,0,0,0,0
ORIGA,022.png,0.9669957092811927,0.9729916540020576,0.9729916540020576,0.9699936816416251,0,0,0,0,0,0,0,0,0
ORIGA,023.png,0.9230461743626002,0.9626093019829847,0.9626093019829847,0.9428277381727924,0,0,0,0,0,0,0,0,0
