DATA_TEST,NOMBRE,DICE OC,DICE OD,DICE ODint,DICE AVG,PRECISION OC,PRECISION OD,PRECISION ODint,RECALL OC,RECALL OD,RECALL ODint,Hausdorff_distance_OC,Hausdorff_distance_OD,Hausdorff_distance_ODint
DRISHTI,Test/003.png,0.8980756794401544,0.9688485618714484,0.9688485618714484,0.9334621206558014,0,0,0,0,0,0,0,0,0
DRISHTI,Test/005.png,0.8950839346817345,0.9861414611821784,0.9861414611821784,0.9406126979319565,0,0,0,0,0,0,0,0,0
DRISHTI,Test/006.png,0.8910671655101905,0.9805879855101226,0.9805879855101226,0.9358275755101566,0,0,0,0,0,0,0,0,0
DRISHTI,Test/007.png,0.937243622897218,0.9733115501120904,0.9733115501120904,0.9552775865046541,0,0,0,0,0,0,0,0,0
DRISHTI,Test/009.png,0.938087434406387,0.984773330323519,0.984773330323519,0.961430382364953,0,0,0,0,0,0,0,0,0
DRISHTI,Test/011.png,0.9142405112907355,0.9820899018411693,0.9820899018411693,0.9481652065659524,0,0,0,0,0,0,0,0,0
DRISHTI,Test/013.png,0.9434870304865259,0.9789884710605439,0.9789884710605439,0.9612377507735349,0,0,0,0,0,0,0,0,0
DRISHTI,Test/014.png,0.917749397070332,0.9849567153609604,0.9849567153609604,0.9513530562156463,0,0,0,0,0,0,0,0,0
DRISHTI,Test/019.png,0.9558826806049197,0.9800309168041635,0.9800309168041635,0.9679567987045417,0,0,0,0,0,0,0,0,0
DRISHTI,Test/020.png,0.8807683065730643,0.981978836343121,0.981978836343121,0.9313735714580926,0,0,0,0,0,0,0,0,0
DRISHTI,Test/021.png,0.9384949236701952,0.9333788988468251,0.9333788988468251,0.9359369112585101,0,0,0,0,0,0,0,0,0
DRISHTI,Test/023.png,0.8437434938975346,0.9790303642683476,0.9790303642683476,0.911386929082941,0,0,0,0,0,0,0,0,0
DRISHTI,Test/025.png,0.9352090609094008,0.9715200729978366,0.9715200729978366,0.9533645669536187,0,0,0,0,0,0,0,0,0
DRISHTI,Test/027.png,0.9587515028793463,0.9715555623236363,0.9715555623236363,0.9651535326014913,0,0,0,0,0,0,0,0,0
DRISHTI,Test/028.png,0.9413599045213369,0.981958624691202,0.981958624691202,0.9616592646062694,0,0,0,0,0,0,0,0,0
DRISHTI,Test/029.png,0.911932641097053,0.9892295231603341,0.9892295231603341,0.9505810821286935,0,0,0,0,0,0,0,0,0
DRISHTI,Test/030.png,0.9721406657961601,0.978130541447535,0.978130541447535,0.9751356036218475,0,0,0,0,0,0,0,0,0
DRISHTI,Test/034.png,0.9168332627375502,0.984109295704362,0.984109295704362,0.9504712792209561,0,0,0,0,0,0,0,0,0
DRISHTI,Test/039.png,0.8844135269876376,0.9698057634741121,0.9698057634741121,0.9271096452308749,0,0,0,0,0,0,0,0,0
DRISHTI,Test/043.png,0.8913570642733668,0.9801944150257186,0.9801944150257186,0.9357757396495427,0,0,0,0,0,0,0,0,0
DRISHTI,Test/048.png,0.914231429811132,0.9897105704042236,0.9897105704042236,0.9519710001076778,0,0,0,0,0,0,0,0,0
DRISHTI,Test/050.png,0.8628786872249707,0.9598421907887941,0.9598421907887941,0.9113604390068824,0,0,0,0,0,0,0,0,0
DRISHTI,Test/052.png,0.9339770831231882,0.9773797664999883,0.9773797664999883,0.9556784248115882,0,0,0,0,0,0,0,0,0
DRISHTI,Test/053.png,0.9398733066144473,0.982948765606847,0.982948765606847,0.9614110361106472,0,0,0,0,0,0,0,0,0
DRISHTI,Test/054.png,0.8478409870845148,0.9887391388995497,0.9887391388995497,0.9182900629920323,0,0,0,0,0,0,0,0,0
DRISHTI,Test/055.png,0.924425328662954,0.9783936417587257,0.9783936417587257,0.9514094852108399,0,0,0,0,0,0,0,0,0
DRISHTI,Test/056.png,0.8600023880945873,0.9757907955699324,0.9757907955699324,0.9178965918322599,0,0,0,0,0,0,0,0,0
DRISHTI,Test/059.png,0.9177815252057264,0.9916096954000823,0.9916096954000823,0.9546956103029043,0,0,0,0,0,0,0,0,0
DRISHTI,Test/065.png,0.9189475826580458,0.9849073068427266,0.9849073068427266,0.9519274447503863,0,0,0,0,0,0,0,0,0
DRISHTI,Test/067.png,0.9426605235787209,0.9769531319717364,0.9769531319717364,0.9598068277752286,0,0,0,0,0,0,0,0,0
DRISHTI,Test/070.png,0.870502551930316,0.9825073939273911,0.9825073939273911,0.9265049729288535,0,0,0,0,0,0,0,0,0
DRISHTI,Test/071.png,0.9389081470549987,0.9866353779261697,0.9866353779261697,0.9627717624905843,0,0,0,0,0,0,0,0,0
DRISHTI,Test/072.png,0.9327569942250284,0.9721339117223138,0.9721339117223138,0.9524454529736711,0,0,0,0,0,0,0,0,0
DRISHTI,Test/073.png,0.9293929868773532,0.9802152526041013,0.9802152526041013,0.9548041197407272,0,0,0,0,0,0,0,0,0
DRISHTI,Test/074.png,0.8528504271080288,0.9917102095437649,0.9917102095437649,0.9222803183258969,0,0,0,0,0,0,0,0,0
DRISHTI,Test/077.png,0.9619457022174512,0.9760747101535239,0.9760747101535239,0.9690102061854875,0,0,0,0,0,0,0,0,0
DRISHTI,Test/078.png,0.9692697990660837,0.9843118587095163,0.9843118587095163,0.9767908288878,0,0,0,0,0,0,0,0,0
DRISHTI,Test/079.png,0.858853933008467,0.9620756466105698,0.9620756466105698,0.9104647898095184,0,0,0,0,0,0,0,0,0
DRISHTI,Test/082.png,0.8740093476777606,0.9769831893741683,0.9769831893741683,0.9254962685259644,0,0,0,0,0,0,0,0,0
DRISHTI,Test/083.png,0.9424462375721364,0.9670578527027378,0.9670578527027378,0.9547520451374372,0,0,0,0,0,0,0,0,0
DRISHTI,Test/085.png,0.9731517370316658,0.9785201780073207,0.9785201780073207,0.9758359575194933,0,0,0,0,0,0,0,0,0
DRISHTI,Test/086.png,0.9413407486205749,0.977314300392079,0.977314300392079,0.959327524506327,0,0,0,0,0,0,0,0,0
DRISHTI,Test/087.png,0.9657145199313572,0.9888328532462818,0.9888328532462818,0.9772736865888194,0,0,0,0,0,0,0,0,0
DRISHTI,Test/091.png,0.9275957583159691,0.9827796787993959,0.9827796787993959,0.9551877185576825,0,0,0,0,0,0,0,0,0
DRISHTI,Test/093.png,0.8258841435240897,0.9911987313182133,0.9911987313182133,0.9085414374211516,0,0,0,0,0,0,0,0,0
DRISHTI,Test/095.png,0.8639360276738447,0.9743179649615182,0.9743179649615182,0.9191269963176815,0,0,0,0,0,0,0,0,0
DRISHTI,Test/096.png,0.6295415311662064,0.9787766438040699,0.9787766438040699,0.8041590874851381,0,0,0,0,0,0,0,0,0
DRISHTI,Test/097.png,0.9113256291648951,0.9848344885737779,0.9848344885737779,0.9480800588693366,0,0,0,0,0,0,0,0,0
DRISHTI,Test/099.png,0.941138725414457,0.980473881776629,0.980473881776629,0.960806303595543,0,0,0,0,0,0,0,0,0
DRISHTI,Test/100.png,0.8182599783983282,0.9492408037035994,0.9492408037035994,0.8837503910509639,0,0,0,0,0,0,0,0,0
