DATA_TEST,NOMBRE,DICE OC,DICE OD,DICE ODint,DICE AVG,PRECISION OC,PRECISION OD,PRECISION ODint,RECALL OC,RECALL OD,RECALL ODint,Hausdorff_distance_OC,Hausdorff_distance_OD,Hausdorff_distance_ODint
RIM_ONE_R3,001.png,0.9064012687664955,0.9288601608562854,0.9288601608562854,0.9176307148113905,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,002.png,0.9210867180832116,0.9467525927466478,0.9467525927466478,0.9339196554149297,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,003.png,0.9030639217829749,0.9467629144811738,0.9467629144811738,0.9249134181320744,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,004.png,0.8240536297271279,0.9524281065890211,0.9524281065890211,0.8882408681580745,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,005.png,0.9317861911370917,0.9495871522016972,0.9495871522016972,0.9406866716693945,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,006.png,0.9608441036955702,0.7240704929930768,0.7240704929930768,0.8424572983443235,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,007.png,0.9277731227646816,0.9645382094675552,0.9645382094675552,0.9461556661161183,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,008.png,0.9590025071409658,0.9355673048424125,0.9355673048424125,0.9472849059916891,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,009.png,0.8749502901349476,0.7348669421276124,0.7348669421276124,0.80490861613128,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,010.png,0.8615375421897468,0.9483427933029329,0.9483427933029329,0.9049401677463398,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,011.png,0.763649957474942,0.9234270192495496,0.9234270192495496,0.8435384883622459,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,012.png,0.9041230531905278,0.9481441486665896,0.9481441486665896,0.9261336009285587,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,013.png,0.8148637797314089,0.7206639479734317,0.7206639479734317,0.7677638638524202,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,014.png,0.9167455497533881,0.8557206624074365,0.8557206624074365,0.8862331060804123,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,015.png,0.8856779825724752,0.965069261781172,0.965069261781172,0.9253736221768236,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,016.png,0.9287703046480698,0.9588526324372693,0.9588526324372693,0.9438114685426695,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,017.png,0.9204216583686283,0.934656666851883,0.934656666851883,0.9275391626102556,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,018.png,0.9278545345358089,0.9381221555405075,0.9381221555405075,0.9329883450381582,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,019.png,0.8525655879682705,0.9488452517490484,0.9488452517490484,0.9007054198586595,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,020.png,0.9207491939768138,0.9291941836764861,0.9291941836764861,0.9249716888266499,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,021.png,0.86684255840755,0.9519973132895466,0.9519973132895466,0.9094199358485483,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,022.png,0.9462891004431546,0.9417640501746815,0.9417640501746815,0.9440265753089181,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,023.png,0.8552178240789623,0.9693802396766382,0.9693802396766382,0.9122990318778003,0,0,0,0,0,0,0,0,0
RIM_ONE_R3,024.png,0.9453163593903683,0.9644808900146244,0.9644808900146244,0.9548986247024964,0,0,0,0,0,0,0,0,0
