NOMBRE,DICE OC,DICE OD,DICE AVG,PRECISION OC,PRECISION OD,RECALL OC,RECALL OD,Hausdorff_distance_OC,Hausdorff_distance_OD
REFUGE,Test/0801.png,0.9671719250721714,0.9764618838107211,0.9718169044414462,0,0,0,0,0,0
REFUGE,Test/0802.png,0.9169992355595074,0.9718251461473455,0.9444121908534264,0,0,0,0,0,0
REFUGE,Test/0803.png,0.9544238938440364,0.9659029236592702,0.9601634087516533,0,0,0,0,0,0
REFUGE,Test/0804.png,0.9539166186179417,0.9767161918339795,0.9653164052259606,0,0,0,0,0,0
REFUGE,Test/0805.png,0.9728477024350235,0.976748941210885,0.9747983218229542,0,0,0,0,0,0
REFUGE,Test/0806.png,0.8784835587153107,0.9881029016075245,0.9332932301614176,0,0,0,0,0,0
REFUGE,Test/0807.png,0.9458250339319687,0.9843873639787768,0.9651061989553728,0,0,0,0,0,0
REFUGE,Test/0808.png,0.9655453910559009,0.9761037773234797,0.9708245841896903,0,0,0,0,0,0
REFUGE,Test/0809.png,0.7759275449725667,0.9637392097579944,0.8698333773652805,0,0,0,0,0,0
REFUGE,Test/0810.png,0.9467040355013889,0.9847992904268974,0.9657516629641432,0,0,0,0,0,0
REFUGE,Test/0811.png,0.9691940173989727,0.9871115717023742,0.9781527945506734,0,0,0,0,0,0
REFUGE,Test/0812.png,0.9342804853816407,0.939516507019684,0.9368984962006623,0,0,0,0,0,0
REFUGE,Test/0813.png,0.9048243309641748,0.9876027924637742,0.9462135617139745,0,0,0,0,0,0
REFUGE,Test/0814.png,0.9036214508121339,0.9835775838177143,0.9435995173149241,0,0,0,0,0,0
REFUGE,Test/0815.png,0.9278302991771008,0.9839932509529457,0.9559117750650232,0,0,0,0,0,0
REFUGE,Test/0816.png,0.9187941437189274,0.9722594393524407,0.9455267915356841,0,0,0,0,0,0
REFUGE,Test/0817.png,0.9360345003190362,0.9428069042740262,0.9394207022965313,0,0,0,0,0,0
REFUGE,Test/0818.png,0.9545127716141908,0.980585903854616,0.9675493377344033,0,0,0,0,0,0
REFUGE,Test/0819.png,0.9173699406953618,0.9630099707074087,0.9401899557013853,0,0,0,0,0,0
REFUGE,Test/0820.png,0.8665833927190583,0.9700997431866258,0.918341567952842,0,0,0,0,0,0
REFUGE,Test/0821.png,0.9592929932286937,0.9851894551060303,0.9722412241673619,0,0,0,0,0,0
REFUGE,Test/0822.png,0.9371465886519358,0.9859393382091035,0.9615429634305197,0,0,0,0,0,0
REFUGE,Test/0823.png,0.9756466132772524,0.9755498712837106,0.9755982422804815,0,0,0,0,0,0
REFUGE,Test/0824.png,0.8946848156225966,0.9761390361044193,0.935411925863508,0,0,0,0,0,0
REFUGE,Test/0825.png,0.8205426510601321,0.8983540759586357,0.8594483635093839,0,0,0,0,0,0
REFUGE,Test/0826.png,0.9535306988215442,0.977135531730995,0.9653331152762696,0,0,0,0,0,0
REFUGE,Test/0827.png,0.9581889026647885,0.9755714224716721,0.9668801625682303,0,0,0,0,0,0
REFUGE,Test/0828.png,0.9399829434558391,0.958735059499685,0.949359001477762,0,0,0,0,0,0
REFUGE,Test/0829.png,0.9576179223624697,0.9858832364046207,0.9717505793835453,0,0,0,0,0,0
REFUGE,Test/0830.png,0.9232807365358342,0.9758029816873739,0.949541859111604,0,0,0,0,0,0
REFUGE,Test/0831.png,0.9078003447528984,0.9731606588424608,0.9404805017976796,0,0,0,0,0,0
REFUGE,Test/0832.png,0.9038873512592952,0.9750387075922391,0.9394630294257671,0,0,0,0,0,0
REFUGE,Test/0833.png,0.9366039666545707,0.9880397056168453,0.962321836135708,0,0,0,0,0,0
REFUGE,Test/0834.png,0.9627065783555586,0.9812285775911829,0.9719675779733707,0,0,0,0,0,0
REFUGE,Test/0835.png,0.9213638071996529,0.9668941615033244,0.9441289843514886,0,0,0,0,0,0
REFUGE,Test/0836.png,0.8358541538577327,0.945820593959231,0.8908373739084818,0,0,0,0,0,0
REFUGE,Test/0837.png,0.9371477285615251,0.9712754643391911,0.9542115964503581,0,0,0,0,0,0
REFUGE,Test/0838.png,0.9104448636662467,0.9801207748431018,0.9452828192546743,0,0,0,0,0,0
REFUGE,Test/0839.png,0.9582708928624724,0.9876997360888492,0.9729853144756608,0,0,0,0,0,0
REFUGE,Test/0840.png,0.9803485737303306,0.9705372940360077,0.9754429338831692,0,0,0,0,0,0
REFUGE,Test/0841.png,0.8321539289257697,0.9576570744429729,0.8949055016843712,0,0,0,0,0,0
REFUGE,Test/0842.png,0.9646226919724031,0.9885357306770839,0.9765792113247436,0,0,0,0,0,0
REFUGE,Test/0843.png,0.8914379259736601,0.9802207461003952,0.9358293360370277,0,0,0,0,0,0
REFUGE,Test/0844.png,0.9309871043765949,0.9729193905318152,0.9519532474542051,0,0,0,0,0,0
REFUGE,Test/0845.png,0.8954110589988681,0.9765894770182939,0.936000268008581,0,0,0,0,0,0
REFUGE,Test/0846.png,0.863151392900694,0.977403939105026,0.92027766600286,0,0,0,0,0,0
REFUGE,Test/0847.png,0.9693816726666462,0.970824383185859,0.9701030279262526,0,0,0,0,0,0
REFUGE,Test/0848.png,0.9037711983105561,0.9662617291349228,0.9350164637227394,0,0,0,0,0,0
REFUGE,Test/0849.png,0.8404512498235206,0.8733265508876932,0.8568889003556068,0,0,0,0,0,0
REFUGE,Test/0850.png,0.9615810894762186,0.9589371373495902,0.9602591134129044,0,0,0,0,0,0
REFUGE,Test/0851.png,0.9715897414760142,0.9792851042473032,0.9754374228616587,0,0,0,0,0,0
REFUGE,Test/0852.png,0.9093777375368319,0.9807980897391746,0.9450879136380033,0,0,0,0,0,0
REFUGE,Test/0853.png,0.9627022522942654,0.9875196182625874,0.9751109352784264,0,0,0,0,0,0
REFUGE,Test/0854.png,0.9543192599030779,0.9884863587666124,0.9714028093348451,0,0,0,0,0,0
REFUGE,Test/0855.png,0.9056314459646817,0.9848732831786362,0.945252364571659,0,0,0,0,0,0
REFUGE,Test/0856.png,0.9301705034795106,0.9537173124068905,0.9419439079432006,0,0,0,0,0,0
REFUGE,Test/0857.png,0.9158632562536186,0.9765068270385794,0.9461850416460991,0,0,0,0,0,0
REFUGE,Test/0858.png,0.8952596839467667,0.978740591597201,0.9370001377719839,0,0,0,0,0,0
REFUGE,Test/0859.png,0.8471504871495669,0.9840367590543295,0.9155936231019481,0,0,0,0,0,0
REFUGE,Test/0860.png,0.9334772358936128,0.9806595715241722,0.9570684037088925,0,0,0,0,0,0
REFUGE,Test/0861.png,0.9879554897490823,0.9875691569887256,0.9877623233689039,0,0,0,0,0,0
REFUGE,Test/0862.png,0.9334793624214903,0.9885073869199208,0.9609933746707056,0,0,0,0,0,0
REFUGE,Test/0863.png,0.9466729212341904,0.9819906383555841,0.9643317797948873,0,0,0,0,0,0
REFUGE,Test/0864.png,0.9348962930255429,0.9467757338039953,0.9408360134147691,0,0,0,0,0,0
REFUGE,Test/0865.png,0.9529198948096322,0.9731390760974434,0.9630294854535378,0,0,0,0,0,0
REFUGE,Test/0866.png,0.9495613181952453,0.9879164842451946,0.9687389012202199,0,0,0,0,0,0
REFUGE,Test/0867.png,0.9303547721515604,0.9857788853680091,0.9580668287597847,0,0,0,0,0,0
REFUGE,Test/0868.png,0.9321951737536153,0.937421350524295,0.9348082621389551,0,0,0,0,0,0
REFUGE,Test/0869.png,0.9507904517400074,0.9808089612348061,0.9657997064874068,0,0,0,0,0,0
REFUGE,Test/0870.png,0.974507152824118,0.982210063584137,0.9783586082041276,0,0,0,0,0,0
REFUGE,Test/0871.png,0.9326803550305042,0.9827219990390266,0.9577011770347654,0,0,0,0,0,0
REFUGE,Test/0872.png,0.9520929014944438,0.9786163338436389,0.9653546176690413,0,0,0,0,0,0
REFUGE,Test/0873.png,0.9691909419866904,0.964870753938252,0.9670308479624712,0,0,0,0,0,0
REFUGE,Test/0874.png,0.9307878279306524,0.9885550644655008,0.9596714461980766,0,0,0,0,0,0
REFUGE,Test/0875.png,0.8992397464218286,0.9720989103754143,0.9356693283986215,0,0,0,0,0,0
REFUGE,Test/0876.png,0.9573202947198052,0.984366913932281,0.9708436043260431,0,0,0,0,0,0
REFUGE,Test/0877.png,0.9408781434824182,0.9802430012737996,0.9605605723781089,0,0,0,0,0,0
REFUGE,Test/0878.png,0.9640875819677448,0.9720529730693106,0.9680702775185277,0,0,0,0,0,0
REFUGE,Test/0879.png,0.9299196836791914,0.9894854361652026,0.959702559922197,0,0,0,0,0,0
REFUGE,Test/0880.png,0.8540220531493649,0.9830383712742676,0.9185302122118162,0,0,0,0,0,0
REFUGE,Test/0881.png,0.916393819748002,0.9862828666470687,0.9513383431975353,0,0,0,0,0,0
REFUGE,Test/0882.png,0.9356039842676482,0.9797540282345849,0.9576790062511166,0,0,0,0,0,0
REFUGE,Test/0883.png,0.928084009573946,0.986214119288829,0.9571490644313875,0,0,0,0,0,0
