dataset,NOMBRE,DICE OC,DICE OD,DICE AVG,PRECISION OC,PRECISION OD,RECALL OC,RECALL OD,Hausdorff_distance_OC,Hausdorff_distance_OD
ORIGA,001.png,0.8689440762870541,0.9640113072273975,0.9164776917572257,0,0,0,0,0,0
ORIGA,002.png,0.9220084431717142,0.9408470867885627,0.9314277649801384,0,0,0,0,0,0
ORIGA,003.png,0.6741161794818115,0.9474219406205653,0.8107690600511883,0,0,0,0,0,0
ORIGA,004.png,0.835163729263283,0.9729724477965234,0.9040680885299032,0,0,0,0,0,0
ORIGA,005.png,0.9359437083921017,0.9800524789123809,0.9579980936522413,0,0,0,0,0,0
ORIGA,006.png,0.9108464698040629,0.9528162012206562,0.9318313355123595,0,0,0,0,0,0
ORIGA,007.png,0.9022204426005915,0.9630239248101544,0.932622183705373,0,0,0,0,0,0
ORIGA,008.png,0.9365979590184063,0.9670893112812906,0.9518436351498485,0,0,0,0,0,0
ORIGA,009.png,0.9377116989057287,0.9669954980910695,0.9523535984983991,0,0,0,0,0,0
ORIGA,010.png,0.937896604947956,0.9645490183869705,0.9512228116674633,0,0,0,0,0,0
ORIGA,011.png,0.9507702091121415,0.9712393629716833,0.9610047860419124,0,0,0,0,0,0
ORIGA,012.png,0.9673857164712674,0.9735622426945967,0.970473979582932,0,0,0,0,0,0
ORIGA,013.png,0.9193165775714217,0.9769343386535644,0.948125458112493,0,0,0,0,0,0
ORIGA,014.png,0.7852881263165198,0.9644617143568179,0.8748749203366688,0,0,0,0,0,0
ORIGA,015.png,0.9504526641826587,0.9648279145243117,0.9576402893534852,0,0,0,0,0,0
ORIGA,016.png,0.9384872230915826,0.9560687731481693,0.947277998119876,0,0,0,0,0,0
ORIGA,017.png,0.9069821109890958,0.9749669705077544,0.9409745407484251,0,0,0,0,0,0
ORIGA,018.png,0.8682791911414527,0.9725580376227374,0.920418614382095,0,0,0,0,0,0
ORIGA,019.png,0.9092052375732323,0.9490773011746355,0.9291412693739339,0,0,0,0,0,0
ORIGA,020.png,0.8497018147484393,0.9541239308383533,0.9019128727933963,0,0,0,0,0,0
ORIGA,021.png,0.7999728167566329,0.9511389149333775,0.8755558658450052,0,0,0,0,0,0
ORIGA,022.png,0.9570353860502904,0.9698916844459657,0.963463535248128,0,0,0,0,0,0
ORIGA,023.png,0.9750838886037673,0.9635211581323728,0.9693025233680701,0,0,0,0,0,0
ORIGA,024.png,0.941209757639919,0.9688305798625431,0.955020168751231,0,0,0,0,0,0
ORIGA,025.png,0.9378108690425773,0.8557352119689011,0.8967730405057392,0,0,0,0,0,0
ORIGA,026.png,0.9391138450509906,0.9639517018049436,0.951532773427967,0,0,0,0,0,0
ORIGA,027.png,0.9205504693618713,0.9668500333930976,0.9437002513774845,0,0,0,0,0,0
ORIGA,028.png,0.9831469101163476,0.9665036516085366,0.974825280862442,0,0,0,0,0,0
ORIGA,029.png,0.9163477837460605,0.9710948359992373,0.9437213098726489,0,0,0,0,0,0
ORIGA,030.png,0.8852867186060649,0.9740842845339099,0.9296855015699874,0,0,0,0,0,0
ORIGA,031.png,0.8350817340564385,0.9145207925289068,0.8748012632926727,0,0,0,0,0,0
