NOMBRE,DICE OC,DICE OD,DICE AVG,PRECISION OC,PRECISION OD,RECALL OC,RECALL OD,Hausdorff_distance_OC,Hausdorff_distance_OD
DRISHTI,Test/003.png,0.9352543363982939,0.9711318643140483,0.9531931003561711,0,0,0,0,0,0
DRISHTI,Test/005.png,0.9256456391992771,0.9853261283305632,0.9554858837649202,0,0,0,0,0,0
DRISHTI,Test/006.png,0.9313404225173996,0.9824672886593353,0.9569038555883674,0,0,0,0,0,0
DRISHTI,Test/007.png,0.9420400078184491,0.9738242860676232,0.9579321469430362,0,0,0,0,0,0
DRISHTI,Test/009.png,0.9679327482820315,0.9859841691166684,0.9769584586993499,0,0,0,0,0,0
DRISHTI,Test/011.png,0.9362655002174797,0.9880118658649363,0.962138683041208,0,0,0,0,0,0
DRISHTI,Test/013.png,0.9015830297016898,0.9813343605241467,0.9414586951129182,0,0,0,0,0,0
DRISHTI,Test/014.png,0.9225144907961694,0.9802517122446615,0.9513831015204155,0,0,0,0,0,0
DRISHTI,Test/019.png,0.9680332628334708,0.9818265778813209,0.9749299203573958,0,0,0,0,0,0
DRISHTI,Test/020.png,0.8832216250081768,0.9810260381858337,0.9321238315970053,0,0,0,0,0,0
DRISHTI,Test/021.png,0.948055807419975,0.9193209569344606,0.9336883821772177,0,0,0,0,0,0
DRISHTI,Test/023.png,0.8828555970415821,0.9778388548229151,0.9303472259322486,0,0,0,0,0,0
DRISHTI,Test/025.png,0.5472147742867381,0.9804649819836315,0.7638398781351848,0,0,0,0,0,0
DRISHTI,Test/027.png,0.9662800824426984,0.9731541512521658,0.9697171168474321,0,0,0,0,0,0
DRISHTI,Test/028.png,0.9155609647513616,0.984616738762554,0.9500888517569578,0,0,0,0,0,0
DRISHTI,Test/029.png,0.9152978111309649,0.9866919013643072,0.950994856247636,0,0,0,0,0,0
DRISHTI,Test/030.png,0.9474102015911511,0.9688214326496815,0.9581158171204163,0,0,0,0,0,0
DRISHTI,Test/034.png,0.8511511410776783,0.9785278938060775,0.914839517441878,0,0,0,0,0,0
DRISHTI,Test/039.png,0.6849704895519823,0.9571874087644358,0.821078949158209,0,0,0,0,0,0
DRISHTI,Test/043.png,0.9063343465230329,0.9801890948281535,0.9432617206755932,0,0,0,0,0,0
DRISHTI,Test/048.png,0.9466223354356951,0.9890815880909929,0.967851961763344,0,0,0,0,0,0
DRISHTI,Test/050.png,0.9209120744834227,0.9629994624364708,0.9419557684599468,0,0,0,0,0,0
DRISHTI,Test/052.png,0.8102939295771057,0.9762249985849132,0.8932594640810094,0,0,0,0,0,0
DRISHTI,Test/053.png,0.9016386107848471,0.9785847246216699,0.9401116677032585,0,0,0,0,0,0
DRISHTI,Test/054.png,0.8181246522857555,0.9852162830447408,0.9016704676652482,0,0,0,0,0,0
DRISHTI,Test/055.png,0.7529426959182561,0.9651947726382537,0.8590687342782549,0,0,0,0,0,0
DRISHTI,Test/056.png,0.9334258707393686,0.975989862925643,0.9547078668325057,0,0,0,0,0,0
DRISHTI,Test/059.png,0.9334863362245622,0.987758577003315,0.9606224566139386,0,0,0,0,0,0
DRISHTI,Test/065.png,0.9316990969833886,0.9879348527549368,0.9598169748691627,0,0,0,0,0,0
DRISHTI,Test/067.png,0.9495675971630706,0.9734429620964264,0.9615052796297485,0,0,0,0,0,0
DRISHTI,Test/070.png,0.7896575372141499,0.981623241473232,0.8856403893436909,0,0,0,0,0,0
DRISHTI,Test/071.png,0.968137776414036,0.986582559865623,0.9773601681398295,0,0,0,0,0,0
DRISHTI,Test/072.png,0.9691929506352364,0.9683094149958478,0.9687511828155421,0,0,0,0,0,0
DRISHTI,Test/073.png,0.9611312834022598,0.9786783123054856,0.9699047978538727,0,0,0,0,0,0
DRISHTI,Test/074.png,0.8857767505410055,0.9900511969830563,0.9379139737620309,0,0,0,0,0,0
DRISHTI,Test/077.png,0.8694591348877903,0.9681759492176385,0.9188175420527144,0,0,0,0,0,0
DRISHTI,Test/078.png,0.9611021178024515,0.9838388252696151,0.9724704715360333,0,0,0,0,0,0
DRISHTI,Test/079.png,0.9054572318168198,0.962830669595985,0.9341439507064024,0,0,0,0,0,0
DRISHTI,Test/082.png,0.8959993959981876,0.9736186699460063,0.9348090329720969,0,0,0,0,0,0
DRISHTI,Test/083.png,0.9652383479884803,0.9634762796039028,0.9643573137961916,0,0,0,0,0,0
DRISHTI,Test/085.png,0.9779000153157258,0.9780067501173058,0.9779533827165158,0,0,0,0,0,0
DRISHTI,Test/086.png,0.8322307059157935,0.9774777224033392,0.9048542141595664,0,0,0,0,0,0
DRISHTI,Test/087.png,0.9771892625929233,0.9910115026838031,0.9841003826383632,0,0,0,0,0,0
DRISHTI,Test/091.png,0.9462628572654646,0.9871427468350291,0.9667028020502468,0,0,0,0,0,0
DRISHTI,Test/093.png,0.8733988187731125,0.9905169002628873,0.9319578595179999,0,0,0,0,0,0
DRISHTI,Test/095.png,0.8744909320824663,0.9724418580840253,0.9234663950832458,0,0,0,0,0,0
DRISHTI,Test/096.png,0.6283964964385333,0.9763875319024733,0.8023920141705033,0,0,0,0,0,0
DRISHTI,Test/097.png,0.9308595011384719,0.9823451508973695,0.9566023260179207,0,0,0,0,0,0
DRISHTI,Test/099.png,0.9807055462762965,0.9820808350029364,0.9813931906396165,0,0,0,0,0,0
DRISHTI,Test/100.png,0.7691585044798599,0.9521126517769953,0.8606355781284276,0,0,0,0,0,0
